model,total_time_s,gpu_energy_j,total_energy_j,avg_power_w,carbon_gco2eq
cogito:3b,21.5202,0.0,223.6104,10.1539,24.8456
deepseek-r1:7b,110.1881,0.0,878.8941,7.8102,97.6549
gemma3:4b,13.0253,0.0,71.4182,5.591,7.9354
gemma3n:e4b,34.2494,0.0,627.3158,7.461,69.7018
llama3.2,9.7012,0.0,82.1374,8.5508,9.1264
mistral:7b,11.4302,0.0,94.0368,8.2591,10.4485
phi3.5:3.8b,27.6926,0.0,273.4838,9.4283,30.3871
phi4-mini:3.8b,38.012,0.0,264.6122,7.1604,29.4014
qwen2.5:3b,11.6853,0.0,56.5476,4.9244,6.2831
qwen3:4b,67.0738,0.0,438.7363,7.2284,48.7485
